['2020-01-07', 'from', 2]
['2020-01-13', 'confirmed', 6]
['2020-01-13', 'chinese', 8]
['2020-01-13', 'from', 14]
['2020-01-13', 'wuhan', 10]
['2020-01-13', 'been', 10]
['2020-01-13', 'infected', 3]
['2020-01-13', 'with', 7]
['2020-01-13', 'coronavirus', 6]
['2020-01-13', '\nthe', 4]
['2020-01-13', 'authorities', 3]
['2020-01-13', 'that', 14]
['2020-01-13', 'said', 13]
['2020-01-13', 'public', 2]
['2020-01-13', 'health', 11]
['2020-01-13', 'minister', 3]
['2020-01-13', 'disease', 2]
['2020-01-13', 'have', 6]
['2020-01-13', 'symptoms', 2]
['2020-01-13', 'virus', 5]
['2020-01-13', 'outbreak', 5]
['2020-01-13', 'central', 2]
['2020-01-13', 'china', 2]
['2020-01-13', 'officials', 7]
['2020-01-13', 'world', 3]
['2020-01-13', 'reported', 4]
['2020-01-13', 'city', 5]
['2020-01-13', 'where', 2]
['2020-01-13', 'died', 2]
['2020-01-13', 'people', 3]
['2020-01-13', 'were', 2]
['2020-01-13', 'first', 3]
['2020-01-13', 'case', 2]
['2020-01-13', 'which', 2]
['2020-01-13', 'person', 2]
['2020-01-14', 'have', 4]
['2020-01-14', 'first', 4]
['2020-01-14', 'case', 5]
['2020-01-14', 'coronavirus', 11]
['2020-01-14', 'that', 9]
['2020-01-14', 'china', 5]
['2020-01-14', 'days', 2]
['2020-01-14', 'after', 3]
['2020-01-14', 'public', 7]
['2020-01-14', 'health', 9]
['2020-01-14', 'officials', 3]
['2020-01-14', 'reported', 2]
['2020-01-14', 'outbreak', 6]
['2020-01-14', 'some', 2]
['2020-01-14', 'severe', 3]
['2020-01-14', 'chinese', 5]
['2020-01-14', 'people', 2]
['2020-01-14', 'wuhan', 11]
['2020-01-14', 'death', 2]
['2020-01-14', 'been', 4]
['2020-01-14', 'patients', 4]
['2020-01-14', 'from', 11]
['2020-01-14', 'hospital', 2]
['2020-01-14', 'with', 7]
['2020-01-14', 'virus', 4]
['2020-01-14', 'news', 2]
['2020-01-14', 'there', 2]
['2020-01-14', 'could', 2]
['2020-01-14', 'about', 4]
['2020-01-14', 'control', 3]
['2020-01-14', 'said', 4]
['2020-01-14', 'says', 2]
['2020-01-14', 'spread', 2]
['2020-01-14', 'infected', 2]
['2020-01-14', 'according', 2]
['2020-01-14', 'minister', 4]
['2020-01-14', 'international', 2]
['2020-01-14', 'city', 3]
['2020-01-14', 'since', 2]
['2020-01-15', 'chinese', 9]
['2020-01-15', 'world', 9]
['2020-01-15', 'health', 11]
['2020-01-15', 'outbreak', 9]
['2020-01-15', 'central', 5]
['2020-01-15', 'city', 6]
['2020-01-15', 'wuhan', 10]
['2020-01-15', 'that', 14]
['2020-01-15', 'cases', 4]
['2020-01-15', 'could', 9]
['2020-01-15', 'coronavirus', 15]
['2020-01-15', 'virus', 7]
['2020-01-15', 'china', 11]
['2020-01-15', 'from', 12]
['2020-01-15', 'person', 5]
['2020-01-15', 'spread', 2]
['2020-01-15', 'have', 13]
['2020-01-15', 'been', 14]
['2020-01-15', 'there', 6]
['2020-01-15', 'said', 7]
['2020-01-15', 'severe', 4]
['2020-01-15', 'with', 5]
['2020-01-15', 'authorities', 5]
['2020-01-15', 'first', 5]
['2020-01-15', 'time', 3]
['2020-01-15', 'reported', 2]
['2020-01-15', 'which', 5]
['2020-01-15', 'state', 2]
['2020-01-15', 'died', 3]
['2020-01-15', 'more', 3]
['2020-01-15', 'case', 3]
['2020-01-15', 'people', 3]
['2020-01-15', 'they', 2]
['2020-01-15', '\nthe', 3]
['2020-01-15', 'confirmed', 3]
['2020-01-15', 'after', 2]
['2020-01-15', 'year', 2]
['2020-01-15', 'infected', 3]
['2020-01-15', 'were', 2]
['2020-01-16', 'chinese', 11]
['2020-01-16', 'health', 22]
['2020-01-16', 'authorities', 7]
['2020-01-16', 'person', 4]
['2020-01-16', 'died', 4]
['2020-01-16', 'from', 19]
['2020-01-16', 'coronavirus', 23]
['2020-01-16', 'central', 4]
['2020-01-16', 'china', 20]
['2020-01-16', 'could', 5]
['2020-01-16', 'when', 2]
['2020-01-16', 'been', 13]
['2020-01-16', 'where', 6]
['2020-01-16', 'they', 4]
['2020-01-16', 'this', 3]
['2020-01-16', 'world', 7]
['2020-01-16', 'more', 2]
['2020-01-16', 'with', 16]
['2020-01-16', 'spread', 8]
['2020-01-16', 'wuhan', 19]
['2020-01-16', 'confirmed', 6]
['2020-01-16', 'first', 12]
['2020-01-16', 'infected', 5]
['2020-01-16', 'ministry', 10]
['2020-01-16', 'said', 24]
['2020-01-16', 'tested', 4]
['2020-01-16', 'positive', 5]
['2020-01-16', 'city', 5]
['2020-01-16', 'there', 6]
['2020-01-16', 'outbreak', 12]
['2020-01-16', '\nthe', 13]
['2020-01-16', 'virus', 16]
['2020-01-16', 'government', 2]
['2020-01-16', 'reported', 6]
['2020-01-16', 'death', 4]
['2020-01-16', 'people', 8]
['2020-01-16', 'have', 11]
['2020-01-16', 'case', 10]
['2020-01-16', 'that', 10]
['2020-01-16', 'about', 4]
['2020-01-16', 'officials', 8]
['2020-01-16', 'news', 4]
['2020-01-16', 'hospital', 2]
['2020-01-16', 'after', 6]
['2020-01-16', 'medical', 2]
['2020-01-16', 'last', 5]
['2020-01-16', 'week', 4]
['2020-01-16', 'which', 2]
['2020-01-16', 'epidemic', 2]
['2020-01-16', 'also', 3]
['2020-01-16', 'disease', 3]
['2020-01-16', 'told', 4]
['2020-01-16', 'symptoms', 3]
['2020-01-16', 'patients', 3]
['2020-01-16', 'since', 2]
['2020-01-16', 'travel', 5]
['2020-01-16', '2020', 2]
['2020-01-16', 'reuters', 2]
['2020-01-16', 'state', 5]
['2020-01-16', 'control', 2]
['2020-01-16', 'markets', 2]
['2020-01-16', 'other', 2]
['2020-01-16', 'were', 3]
['2020-01-16', 'will', 2]
['2020-01-17', 'that', 45]
['2020-01-17', 'they', 5]
['2020-01-17', 'have', 43]
['2020-01-17', 'which', 7]
['2020-01-17', 'spread', 6]
['2020-01-17', 'last', 4]
['2020-01-17', 'week', 2]
['2020-01-17', 'confirmed', 18]
['2020-01-17', 'cases', 21]
['2020-01-17', 'virus', 32]
['2020-01-17', 'while', 4]
['2020-01-17', 'case', 10]
['2020-01-17', 'three', 13]
['2020-01-17', 'from', 53]
['2020-01-17', 'wuhan', 47]
['2020-01-17', 'with', 39]
['2020-01-17', '\nthe', 23]
['2020-01-17', 'first', 8]
['2020-01-17', 'authorities', 13]
['2020-01-17', 'where', 8]
['2020-01-17', 'were', 3]
['2020-01-17', 'been', 29]
['2020-01-17', 'chinese', 18]
['2020-01-17', 'said', 20]
['2020-01-17', 'china', 50]
['2020-01-17', 'people', 19]
['2020-01-17', 'novel', 12]
['2020-01-17', 'coronavirus', 46]
['2020-01-17', 'deaths', 6]
['2020-01-17', 'outbreak', 17]
['2020-01-17', 'many', 4]
['2020-01-17', 'travel', 11]
['2020-01-17', 'year', 3]
['2020-01-17', 'will', 23]
['2020-01-17', 'disease', 10]
['2020-01-17', 'control', 6]
['2020-01-17', 'officials', 13]
['2020-01-17', 'about', 9]
['2020-01-17', 'symptoms', 14]
['2020-01-17', 'public', 8]
['2020-01-17', 'health', 37]
['2020-01-17', 'this', 12]
['2020-01-17', 'other', 6]
['2020-01-17', 'some', 2]
['2020-01-17', 'there', 9]
['2020-01-17', 'being', 7]
['2020-01-17', 'city', 13]
['2020-01-17', 'countries', 2]
['2020-01-17', 'patients', 12]
['2020-01-17', 'reported', 12]
['2020-01-17', 'into', 6]
['2020-01-17', 'around', 2]
['2020-01-17', 'their', 6]
['2020-01-17', 'international', 5]
['2020-01-17', 'infected', 9]
['2020-01-17', 'united', 3]
['2020-01-17', 'states', 3]
['2020-01-17', 'would', 2]
['2020-01-17', 'says', 4]
['2020-01-17', 'ministry', 8]
['2020-01-17', 'hospital', 6]
['2020-01-17', 'according', 5]
['2020-01-17', 'severe', 6]
['2020-01-17', 'than', 3]
['2020-01-17', 'more', 6]
['2020-01-17', 'also', 5]
['2020-01-17', 'measures', 2]
['2020-01-17', 'person', 12]
['2020-01-17', 'died', 22]
['2020-01-17', '2020', 7]
['2020-01-17', 'tested', 2]
['2020-01-17', 'positive', 2]
['2020-01-17', 'under', 2]
['2020-01-17', 'told', 2]
['2020-01-17', 'after', 11]
['2020-01-17', 'days', 3]
['2020-01-17', 'central', 9]
['2020-01-17', 'when', 2]
['2020-01-17', 'death', 7]
['2020-01-17', 'home', 4]
['2020-01-17', 'medical', 3]
['2020-01-17', 'news', 4]
['2020-01-17', 'including', 3]
['2020-01-17', 'world', 4]
['2020-01-17', 'markets', 5]
['2020-01-17', 'since', 4]
['2020-01-17', 'state', 2]
['2020-01-18', 'have', 21]
['2020-01-18', 'first', 8]
['2020-01-18', 'novel', 5]
['2020-01-18', 'chinese', 10]
['2020-01-18', 'coronavirus', 18]
['2020-01-18', 'which', 8]
['2020-01-18', 'spread', 5]
['2020-01-18', '\nthe', 17]
['2020-01-18', 'been', 18]
['2020-01-18', 'world', 3]
['2020-01-18', 'health', 13]
['2020-01-18', 'also', 6]
['2020-01-18', 'cases', 17]
['2020-01-18', 'tested', 2]
['2020-01-18', 'virus', 13]
['2020-01-18', 'wuhan', 13]
['2020-01-18', 'china', 25]
['2020-01-18', 'severe', 4]
['2020-01-18', 'will', 5]
['2020-01-18', 'from', 10]
['2020-01-18', 'this', 4]
['2020-01-18', '2020', 5]
['2020-01-18', 'minister', 2]
['2020-01-18', 'state', 5]
['2020-01-18', 'government', 4]
['2020-01-18', 'outbreak', 12]
['2020-01-18', 'said', 9]
['2020-01-18', 'with', 10]
['2020-01-18', 'symptoms', 6]
['2020-01-18', 'measures', 7]
['2020-01-18', 'while', 2]
['2020-01-18', 'travel', 4]
['2020-01-18', 'ministry', 3]
['2020-01-18', 'confirmed', 2]
['2020-01-18', 'people', 19]
['2020-01-18', 'would', 3]
['2020-01-18', 'some', 2]
['2020-01-18', 'that', 12]
['2020-01-18', 'after', 3]
['2020-01-18', 'country', 2]
['2020-01-18', 'officials', 4]
['2020-01-18', 'died', 3]
['2020-01-18', 'city', 5]
['2020-01-18', 'what', 2]
['2020-01-18', 'about', 3]
['2020-01-18', 'infected', 3]
['2020-01-18', 'number', 5]
['2020-01-18', 'control', 3]
['2020-01-18', 'year', 2]
['2020-01-18', 'central', 4]
['2020-01-18', 'more', 7]
['2020-01-18', 'than', 2]
['2020-01-18', 'reported', 4]
['2020-01-18', 'take', 5]
['2020-01-18', 'authorities', 2]
['2020-01-18', 'three', 2]
['2020-01-18', 'disease', 2]
['2020-01-18', 'united', 3]
['2020-01-18', 'states', 3]
['2020-01-18', 'many', 2]
['2020-01-18', 'person', 4]
['2020-01-18', 'public', 2]
['2020-01-18', 'they', 2]
['2020-01-19', 'news', 5]
['2020-01-19', 'about', 3]
['2020-01-19', 'will', 3]
['2020-01-19', 'from', 10]
['2020-01-19', 'would', 2]
['2020-01-19', 'your', 4]
['2020-01-19', 'outbreak', 6]
['2020-01-19', 'which', 5]
['2020-01-19', 'spread', 3]
['2020-01-19', 'china', 8]
['2020-01-19', 'more', 6]
['2020-01-19', 'have', 12]
['2020-01-19', 'central', 5]
['2020-01-19', 'city', 6]
['2020-01-19', 'wuhan', 13]
['2020-01-19', 'where', 2]
['2020-01-19', 'cases', 15]
['2020-01-19', 'they', 2]
['2020-01-19', 'reported', 3]
['2020-01-19', 'number', 4]
['2020-01-19', 'people', 5]
['2020-01-19', 'infected', 2]
['2020-01-19', 'with', 6]
['2020-01-19', 'coronavirus', 12]
['2020-01-19', 'including', 2]
['2020-01-19', 'first', 2]
['2020-01-19', 'medical', 4]
['2020-01-19', 'said', 10]
['2020-01-19', 'country', 2]
['2020-01-19', 'three', 5]
['2020-01-19', 'week', 2]
['2020-01-19', '\nthe', 3]
['2020-01-19', 'chinese', 8]
['2020-01-19', 'disease', 4]
['2020-01-19', 'control', 2]
['2020-01-19', 'severe', 2]
['2020-01-19', 'officials', 5]
['2020-01-19', 'confirmed', 8]
['2020-01-19', 'year', 3]
['2020-01-19', 'were', 3]
['2020-01-19', 'that', 5]
['2020-01-19', 'health', 6]
['2020-01-19', 'while', 3]
['2020-01-19', 'virus', 4]
['2020-01-19', 'been', 13]
['2020-01-19', 'government', 2]
['2020-01-19', 'also', 2]
['2020-01-19', 'international', 2]
['2020-01-19', 'hospital', 3]
['2020-01-19', 'after', 5]
['2020-01-19', 'last', 3]
['2020-01-19', 'other', 2]
['2020-01-19', 'authorities', 4]
['2020-01-19', 'this', 2]
['2020-01-19', 'there', 2]
['2020-01-19', 'deaths', 2]
['2020-01-19', 'world', 2]
['2020-01-20', 'with', 34]
['2020-01-20', 'news', 19]
['2020-01-20', 'about', 19]
['2020-01-20', 'will', 20]
['2020-01-20', 'from', 45]
['2020-01-20', 'would', 5]
['2020-01-20', 'your', 16]
['2020-01-20', '2020', 10]
['2020-01-20', 'outbreak', 45]
['2020-01-20', 'coronavirus', 62]
['2020-01-20', 'china', 61]
['2020-01-20', 'year', 14]
['2020-01-20', 'after', 6]
['2020-01-20', 'chinese', 34]
['2020-01-20', 'government', 19]
['2020-01-20', 'confirmed', 34]
['2020-01-20', 'death', 7]
['2020-01-20', '\nthe', 33]
['2020-01-20', 'disease', 13]
['2020-01-20', 'travel', 10]
['2020-01-20', 'that', 58]
['2020-01-20', 'central', 13]
['2020-01-20', 'around', 8]
['2020-01-20', 'their', 6]
['2020-01-20', 'cases', 40]
['2020-01-20', 'deadly', 12]
['2020-01-20', 'patients', 10]
['2020-01-20', 'hospital', 4]
['2020-01-20', 'wuhan', 45]
['2020-01-20', 'virus', 44]
['2020-01-20', 'medical', 8]
['2020-01-20', 'number', 13]
['2020-01-20', 'have', 41]
['2020-01-20', 'city', 20]
['2020-01-20', 'control', 2]
['2020-01-20', 'also', 15]
['2020-01-20', 'being', 13]
['2020-01-20', 'reported', 30]
['2020-01-20', 'been', 30]
['2020-01-20', 'public', 7]
['2020-01-20', 'health', 28]
['2020-01-20', 'said', 43]
['2020-01-20', 'world', 13]
['2020-01-20', 'three', 11]
['2020-01-20', 'deaths', 3]
['2020-01-20', 'international', 9]
['2020-01-20', 'case', 15]
['2020-01-20', 'spread', 23]
['2020-01-20', 'novel', 10]
['2020-01-20', 'which', 19]
['2020-01-20', 'first', 25]
['2020-01-20', 'tested', 6]
['2020-01-20', 'positive', 6]
['2020-01-20', 'into', 4]
['2020-01-20', 'there', 4]
['2020-01-20', 'people', 35]
['2020-01-20', 'authorities', 16]
['2020-01-20', 'could', 9]
['2020-01-20', 'than', 13]
['2020-01-20', 'since', 3]
['2020-01-20', 'other', 13]
['2020-01-20', 'while', 6]
['2020-01-20', 'more', 22]
['2020-01-20', 'what', 4]
['2020-01-20', 'according', 6]
['2020-01-20', 'some', 9]
['2020-01-20', 'over', 4]
['2020-01-20', 'infected', 14]
['2020-01-20', 'severe', 4]
['2020-01-20', 'this', 11]
['2020-01-20', 'symptoms', 5]
['2020-01-20', 'last', 6]
['2020-01-20', 'days', 3]
['2020-01-20', 'died', 4]
['2020-01-20', 'measures', 4]
['2020-01-20', 'take', 7]
['2020-01-20', 'country', 8]
['2020-01-20', 'state', 7]
['2020-01-20', 'says', 3]
['2020-01-20', 'global', 6]
['2020-01-20', 'they', 7]
['2020-01-20', 'time', 5]
['2020-01-20', 'person', 8]
['2020-01-20', 'when', 6]
['2020-01-20', 'including', 9]
['2020-01-20', 'officials', 5]
['2020-01-20', 'reuters', 5]
['2020-01-20', 'many', 2]
['2020-01-20', 'where', 4]
['2020-01-20', 'ministry', 5]
['2020-01-20', 'countries', 3]
['2020-01-20', 'epidemic', 3]
['2020-01-20', 'were', 6]
['2020-01-20', 'week', 4]
['2020-01-20', 'united', 2]
['2020-01-20', 'states', 2]
['2020-01-20', 'markets', 6]
['2020-01-21', '2020', 73]
['2020-01-21', 'virus', 287]
['2020-01-21', 'outbreak', 207]
['2020-01-21', 'some', 47]
['2020-01-21', 'global', 41]
['2020-01-21', 'after', 91]
['2020-01-21', 'since', 26]
['2020-01-21', 'were', 67]
['2020-01-21', 'said', 208]
['2020-01-21', 'would', 25]
['2020-01-21', 'death', 32]
['2020-01-21', 'from', 323]
['2020-01-21', 'coronavirus', 441]
['2020-01-21', 'with', 219]
['2020-01-21', 'confirmed', 164]
['2020-01-21', 'cases', 140]
['2020-01-21', '\nthe', 166]
['2020-01-21', 'world', 78]
['2020-01-21', 'health', 236]
['2020-01-21', 'public', 44]
['2020-01-21', 'international', 59]
['2020-01-21', 'which', 110]
['2020-01-21', 'have', 236]
['2020-01-21', 'china', 377]
['2020-01-21', 'spread', 180]
['2020-01-21', 'more', 142]
['2020-01-21', 'chinese', 164]
['2020-01-21', 'including', 37]
['2020-01-21', 'while', 17]
['2020-01-21', 'central', 57]
['2020-01-21', 'case', 116]
['2020-01-21', 'this', 104]
['2020-01-21', 'first', 124]
['2020-01-21', 'patients', 32]
['2020-01-21', 'also', 53]
['2020-01-21', 'reported', 96]
['2020-01-21', 'that', 367]
['2020-01-21', 'other', 72]
['2020-01-21', 'medical', 57]
['2020-01-21', 'officials', 95]
['2020-01-21', 'wuhan', 246]
['2020-01-21', 'people', 204]
['2020-01-21', 'than', 90]
['2020-01-21', 'what', 31]
['2020-01-21', 'could', 60]
['2020-01-21', 'will', 99]
['2020-01-21', 'about', 94]
['2020-01-21', 'deaths', 18]
['2020-01-21', 'been', 187]
['2020-01-21', 'disease', 96]
['2020-01-21', 'severe', 24]
['2020-01-21', 'travel', 75]
['2020-01-21', 'year', 63]
['2020-01-21', 'around', 36]
['2020-01-21', 'they', 52]
['2020-01-21', 'authorities', 73]
['2020-01-21', 'novel', 29]
['2020-01-21', 'control', 59]
['2020-01-21', 'state', 55]
['2020-01-21', 'symptoms', 60]
['2020-01-21', 'days', 21]
['2020-01-21', 'your', 66]
['2020-01-21', 'reuters', 15]
['2020-01-21', 'united', 47]
['2020-01-21', 'states', 41]
['2020-01-21', 'city', 102]
['2020-01-21', 'infected', 92]
['2020-01-21', 'died', 35]
['2020-01-21', 'according', 37]
['2020-01-21', 'minister', 8]
['2020-01-21', 'says', 31]
['2020-01-21', 'there', 39]
['2020-01-21', 'measures', 29]
['2020-01-21', 'take', 26]
['2020-01-21', 'time', 25]
['2020-01-21', 'last', 38]
['2020-01-21', 'countries', 48]
['2020-01-21', 'number', 41]
['2020-01-21', 'over', 58]
['2020-01-21', 'hospital', 28]
['2020-01-21', 'home', 22]
['2020-01-21', 'where', 44]
['2020-01-21', 'when', 32]
['2020-01-21', 'three', 42]
['2020-01-21', 'their', 46]
['2020-01-21', 'epidemic', 9]
['2020-01-21', 'week', 29]
['2020-01-21', 'deadly', 58]
['2020-01-21', 'tested', 15]
['2020-01-21', 'into', 28]
['2020-01-21', 'country', 49]
['2020-01-21', 'being', 40]
['2020-01-21', 'told', 20]
['2020-01-21', 'news', 47]
['2020-01-21', 'markets', 32]
['2020-01-21', 'government', 33]
['2020-01-21', 'under', 11]
['2020-01-21', 'many', 16]
['2020-01-21', 'person', 52]
['2020-01-21', 'ministry', 11]
['2020-01-21', 'positive', 6]
['2020-01-22', '2020', 79]
['2020-01-22', 'about', 95]
['2020-01-22', 'spread', 161]
['2020-01-22', 'wuhan', 340]
['2020-01-22', 'coronavirus', 624]
['2020-01-22', 'that', 365]
['2020-01-22', 'china', 457]
['2020-01-22', 'global', 57]
['2020-01-22', 'epidemic', 21]
['2020-01-22', 'some', 55]
['2020-01-22', 'outbreak', 255]
['2020-01-22', 'could', 95]
['2020-01-22', 'people', 231]
['2020-01-22', 'this', 124]
['2020-01-22', 'week', 33]
['2020-01-22', 'year', 71]
['2020-01-22', 'health', 344]
['2020-01-22', 'measures', 46]
['2020-01-22', 'disease', 106]
['2020-01-22', 'including', 68]
['2020-01-22', '\nthe', 223]
['2020-01-22', 'central', 64]
['2020-01-22', 'more', 146]
['2020-01-22', 'markets', 34]
['2020-01-22', 'while', 54]
['2020-01-22', 'news', 63]
['2020-01-22', 'from', 422]
['2020-01-22', 'take', 21]
['2020-01-22', 'world', 91]
['2020-01-22', 'chinese', 189]
['2020-01-22', 'been', 221]
['2020-01-22', 'novel', 52]
['2020-01-22', 'deadly', 80]
['2020-01-22', 'according', 48]
['2020-01-22', 'medical', 60]
['2020-01-22', 'which', 133]
['2020-01-22', 'first', 136]
['2020-01-22', 'time', 43]
['2020-01-22', 'said', 259]
['2020-01-22', 'control', 51]
['2020-01-22', 'where', 73]
['2020-01-22', 'officials', 110]
['2020-01-22', 'international', 95]
['2020-01-22', 'will', 135]
['2020-01-22', 'virus', 387]
['2020-01-22', 'have', 332]
['2020-01-22', 'they', 69]
['2020-01-22', 'travel', 102]
['2020-01-22', 'government', 38]
['2020-01-22', 'country', 40]
['2020-01-22', 'over', 55]
['2020-01-22', 'what', 36]
['2020-01-22', 'symptoms', 60]
['2020-01-22', 'with', 315]
['2020-01-22', 'death', 55]
['2020-01-22', 'authorities', 90]
['2020-01-22', 'three', 26]
['2020-01-22', 'says', 41]
['2020-01-22', 'days', 22]
['2020-01-22', 'number', 49]
['2020-01-22', 'cases', 212]
['2020-01-22', 'also', 86]
['2020-01-22', 'than', 70]
['2020-01-22', 'many', 26]
['2020-01-22', 'city', 153]
['2020-01-22', 'under', 28]
['2020-01-22', 'infected', 82]
['2020-01-22', 'died', 50]
['2020-01-22', 'person', 27]
['2020-01-22', 'being', 61]
['2020-01-22', 'after', 94]
['2020-01-22', 'other', 80]
['2020-01-22', 'countries', 52]
['2020-01-22', 'public', 76]
['2020-01-22', 'reported', 94]
['2020-01-22', 'ministry', 33]
['2020-01-22', 'into', 34]
['2020-01-22', 'reuters', 32]
['2020-01-22', 'were', 97]
['2020-01-22', 'their', 28]
['2020-01-22', 'there', 93]
['2020-01-22', 'would', 39]
['2020-01-22', 'around', 36]
['2020-01-22', 'last', 50]
['2020-01-22', 'severe', 44]
['2020-01-22', 'told', 33]
['2020-01-22', 'confirmed', 195]
['2020-01-22', 'since', 32]
['2020-01-22', 'case', 128]
['2020-01-22', 'state', 51]
['2020-01-22', 'states', 66]
['2020-01-22', 'deaths', 45]
['2020-01-22', 'united', 71]
['2020-01-22', 'your', 47]
['2020-01-22', 'tested', 12]
['2020-01-22', 'positive', 10]
['2020-01-22', 'minister', 31]
['2020-01-22', 'february', 4]
['2020-01-22', 'hospital', 22]
['2020-01-22', 'when', 28]
['2020-01-22', 'patients', 35]
['2020-01-22', 'home', 13]
['2020-01-23', 'been', 337]
['2020-01-23', 'spread', 220]
['2020-01-23', 'deadly', 136]
['2020-01-23', 'virus', 418]
['2020-01-23', 'that', 589]
['2020-01-23', 'china', 551]
['2020-01-23', 'reported', 115]
['2020-01-23', 'cases', 258]
['2020-01-23', 'people', 460]
['2020-01-23', 'travel', 140]
['2020-01-23', 'time', 38]
['2020-01-23', 'week', 32]
['2020-01-23', 'since', 48]
['2020-01-23', 'while', 75]
['2020-01-23', 'have', 514]
['2020-01-23', 'health', 465]
['2020-01-23', 'authorities', 124]
['2020-01-23', 'around', 57]
['2020-01-23', 'world', 139]
['2020-01-23', 'coronavirus', 835]
['2020-01-23', 'outbreak', 336]
['2020-01-23', 'said', 412]
['2020-01-23', 'global', 85]
['2020-01-23', 'officials', 142]
['2020-01-23', 'about', 111]
['2020-01-23', 'from', 519]
['2020-01-23', 'measures', 62]
['2020-01-23', 'with', 375]
['2020-01-23', 'disease', 120]
['2020-01-23', 'control', 44]
['2020-01-23', 'this', 169]
['2020-01-23', 'public', 162]
['2020-01-23', '\nthe', 293]
['2020-01-23', 'also', 144]
['2020-01-23', 'including', 84]
['2020-01-23', 'your', 41]
['2020-01-23', 'when', 33]
['2020-01-23', 'more', 225]
['2020-01-23', 'news', 83]
['2020-01-23', 'death', 25]
['2020-01-23', 'says', 59]
['2020-01-23', 'country', 68]
['2020-01-23', 'wuhan', 511]
['2020-01-23', 'under', 48]
['2020-01-23', 'many', 42]
['2020-01-23', 'there', 128]
['2020-01-23', 'infected', 177]
['2020-01-23', 'some', 68]
['2020-01-23', 'confirmed', 161]
['2020-01-23', 'case', 85]
['2020-01-23', 'which', 208]
['2020-01-23', 'countries', 61]
